APF	Acc Plur Fem
APFC	Acc Plur Fem Compar
APM	Acc Plur Masc
APMC	Acc Plur Masc Compar
APN	Acc Plur Neut
APNC	Acc Plur Neut Compar
APNS	Acc Plur Neut Superlative
ASF	Acc Sing Fem
ASFC	Acc Sing Fem Compar
ASFS	Acc Sing Fem Superlative
ASM	Acc Sing Masc
ASMC	Acc Sing Masc Compar
ASN	Acc Sing Neut
ASNC	Acc Sing Neut Compar
ASNS	Acc Sing Neut Superlative
DPF	Dat Plur Fem
DPFC	Dat Plur Fem Compar
DPM	Dat Plur Masc
DPMC	Dat Plur Masc Compar
DPN	Dat Plur Neut
DPNS	Dat Plur Neut Superlative
DSF	Dat Sing Fem
DSFC	Dat Sing Fem Compar
DSFS	Dat Sing Fem Superlative
DSM	Dat Sing Masc
DSMC	Dat Sing Masc Compar
DSMS	Dat Sing Masc Superlative
DSN	Dat Sing Neut
DSNC	Dat Sing Neut Compar
GPF	Gen Plur Fem
GPFS	Gen Plur Fem Superlative
GPM	Gen Plur Masc
GPMC	Gen Plur Masc Compar
GPN	Gen Plur Neut
GPNC	Gen Plur Neut Compar
GPNS	Gen Plur Neut Superlative
GSF	Gen Sing Fem
GSFC	Gen Sing Fem Compar
GSM	Gen Sing Masc
GSMC	Gen Sing Masc Compar
GSMS	Gen Sing Masc Superlative
GSN	Gen Sing Neut
GSNS	Gen Sing Neut Superlative
NPF	Nom Plur Fem
NPFC	Nom Plur Fem Compar
NPFS	Nom Plur Fem Superlative
NPM	Nom Plur Masc
NPMC	Nom Plur Masc Compar
NPN	Nom Plur Neut
NPNC	Nom Plur Neut Compar
NSF	Nom Sing Fem
NSFC	Nom Sing Fem Compar
NSFS	Nom Sing Fem Superlative
NSM	Nom Sing Masc
NSMC	Nom Sing Masc Compar
NSMS	Nom Sing Masc Superlative
NSN	Nom Sing Neut
NSNC	Nom Sing Neut Compar
VPF	Voc Plur Fem
VPM	Voc Plur Masc
VPMC	Voc Plur Masc Compar
VSF	Voc Sing Fem
VSM	Voc Sing Masc
VSMS	Voc Sing Masc Superlative
APF	Acc Plur Fem
APFC	Acc Plur Fem Compar
APFS	Acc Plur Fem Superlative
APM	Acc Plur Masc
APMC	Acc Plur Masc Compar
APMS	Acc Plur Masc Superlative
APN	Acc Plur Neut
APNC	Acc Plur Neut Compar
APNS	Acc Plur Neut Superlative
ASF	Acc Sing Fem
ASFC	Acc Sing Fem Compar
ASFS	Acc Sing Fem Superlative
ASM	Acc Sing Masc
ASMC	Acc Sing Masc Compar
ASMS	Acc Sing Masc Superlative
ASNC	Acc Sing Neut Compar
ASNS	Acc Sing Neut Superlative
B	
D	Dat
DP	Dat Plur
DPF	Dat Plur Fem
DPFS	Dat Plur Fem Superlative
DPM	Dat Plur Masc
DPMS	Dat Plur Masc Superlative
DPN	Dat Plur Neut
DPNS	Dat Plur Neut Superlative
DS	Dat Sing
DSF	Dat Sing Fem
DSFS	Dat Sing Fem Superlative
DSM	Dat Sing Masc
DSMS	Dat Sing Masc Superlative
DSN	Dat Sing Neut
DSNS	Dat Sing Neut Superlative
